--- [2022-09-12 12:01:53.737458] Running Parameter-Tests [SKLEARN-NN] ---
Best parameters set found on following development set:
	Support Vector: MLPClassifier(alpha=0.05, hidden_layer_sizes=(784,), max_iter=100)
	Support Vector Parametrization: {'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'adam'}
	Asserted Score: 0.9672639768811827
Total Score 		 Configurations
0.915 (+/-0.013)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'sgd'}
0.937 (+/-0.009)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'adam'}
0.917 (+/-0.013)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.938 (+/-0.007)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'adam'}
0.910 (+/-0.013)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'sgd'}
0.953 (+/-0.005)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'adam'}
0.910 (+/-0.014)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.952 (+/-0.005)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'adam'}
0.918 (+/-0.011)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'sgd'}
0.942 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'adam'}
0.917 (+/-0.013)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.945 (+/-0.007)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'adam'}
0.909 (+/-0.013)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'sgd'}
0.958 (+/-0.004)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'adam'}
0.910 (+/-0.015)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.958 (+/-0.003)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'adam'}
0.921 (+/-0.013)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'sgd'}
0.939 (+/-0.009)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'adam'}
0.917 (+/-0.013)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.939 (+/-0.006)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'adam'}
0.925 (+/-0.012)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'sgd'}
0.963 (+/-0.003)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'adam'}
0.923 (+/-0.012)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.963 (+/-0.004)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'adam'}
0.920 (+/-0.011)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'sgd'}
0.941 (+/-0.006)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'adam'}
0.918 (+/-0.012)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.943 (+/-0.005)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'adam'}
0.925 (+/-0.012)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'sgd'}
0.967 (+/-0.005)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'adam'}
0.924 (+/-0.013)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.967 (+/-0.005)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'adam'}
--- [2022-09-12 12:49:17.587612] Running Parameter-Tests [SKLEARN-NN] ---
Best parameters set found on following development set:
	Support Vector: MLPClassifier(alpha=0.05, hidden_layer_sizes=(784,), learning_rate='adaptive',
              max_iter=100)
	Support Vector Parametrization: {'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'adam'}
	Asserted Score: 0.9665974435923086
Total Score 		 Configurations
0.913 (+/-0.013)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'sgd'}
0.912 (+/-0.011)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'adam'}
0.913 (+/-0.018)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.914 (+/-0.010)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'adam'}
0.908 (+/-0.014)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'sgd'}
0.906 (+/-0.011)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'adam'}
0.906 (+/-0.014)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.904 (+/-0.011)	{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'adam'}
0.914 (+/-0.012)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'sgd'}
0.931 (+/-0.006)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'adam'}
0.914 (+/-0.015)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.931 (+/-0.006)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'adam'}
0.905 (+/-0.014)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'sgd'}
0.954 (+/-0.005)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'adam'}
0.907 (+/-0.014)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.954 (+/-0.004)	{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'adam'}
0.926 (+/-0.010)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'sgd'}
0.926 (+/-0.009)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'adam'}
0.923 (+/-0.012)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.924 (+/-0.010)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'adam'}
0.930 (+/-0.011)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'sgd'}
0.949 (+/-0.007)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'adam'}
0.932 (+/-0.011)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.948 (+/-0.006)	{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'adam'}
0.923 (+/-0.011)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'sgd'}
0.937 (+/-0.009)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'constant', 'solver': 'adam'}
0.924 (+/-0.011)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.939 (+/-0.006)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (28, 28), 'learning_rate': 'adaptive', 'solver': 'adam'}
0.931 (+/-0.011)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'sgd'}
0.966 (+/-0.004)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'constant', 'solver': 'adam'}
0.933 (+/-0.010)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'sgd'}
0.967 (+/-0.004)	{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (784,), 'learning_rate': 'adaptive', 'solver': 'adam'}
